gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	gene_burden_score									
STX1B	ENSG00000099365	chr16	3.34E-01	4.04E+00	0	0.139505	0									
STX2	ENSG00000111450	chr12	9.17E-01	8.50E-01	0	0.032368	0									
STX3	ENSG00000166900	chr11	6.94E-01	6.10E-02	0	0	0									
STX4	ENSG00000103496	chr16	8.07E-01	1.60E+00	0	0.127712	0									
STX5	ENSG00000162236	chr11	5.38E-01	5.00E-01	0	0	0									
STX6	ENSG00000135823	chr1	8.57E-01	9.39E-01	0	0	0									
STX7	ENSG00000079950	chr6	1.14E+00	6.38E-01	0	0	0									
STX8	ENSG00000170310	chr17	8.69E-01	-7.14E-01	0	0.344146	0									
STXBP1	ENSG00000136854	chr9	9.87E-02	6.67E+00	0	0	0									
STXBP2	ENSG00000076944	chr19	8.30E-01	1.58E+00	1	0	0									
STXBP3	ENSG00000116266	chr1	6.20E-01	2.25E+00	0	0	0									
STXBP4	ENSG00000166263	chr17	9.05E-01	3.19E-01	0	0.493588	0									
STXBP5	ENSG00000164506	chr6	4.15E-01	2.54E+00	0	0.080294	0									
STXBP5L	ENSG00000145087	chr3	5.53E-01	1.22E+00	0	0	0									
STXBP6	ENSG00000168952	chr14	1.12E+00	6.88E-01	0	0.49422	0									
STYK1	ENSG00000060140	chr12	1.22E+00	-1.10E-01	0	0.042015	0									
STYX	ENSG00000198252	chr14	6.81E-01	1.11E+00	0	0	0									
STYXL1	ENSG00000127952	chr7	1.18E+00	8.61E-01	0	0	0									
STYXL2	ENSG00000198842	chr1	1.08E+00	-1.47E+00	0	0.044506	0									
SUB1	ENSG00000113387	chr5	2.81E-01	2.16E+00	0	0.066183	0									
SUCLA2	ENSG00000136143	chr13	7.42E-01	1.56E+00	0	0	0									
SUCLG1	ENSG00000163541	chr2	9.68E-01	-2.64E-03	0	0	0									
SUCLG2	ENSG00000172340	chr3	1.14E+00	-8.38E-01	0	0.549498	0									
SUCNR1	ENSG00000198829	chr3	4.36E+00	5.60E-01	0	0.127073	0									
SUCO	ENSG00000094975	chr1	4.80E-01	1.53E+00	0	0.058053	0									
SUDS3	ENSG00000111707	chr12	6.09E-01	2.43E+00	0	0.183824	0									
SUFU	ENSG00000107882	chr10	2.23E-01	3.20E+00	0	0.535231	0									
SUGCT	ENSG00000175600	chr7	9.66E-01	-3.69E-01	0	0.233393	0									
SUGP1	ENSG00000105705	chr19	5.92E-01	1.46E+00	0	0.137165	0									
SUGP2	ENSG00000064607	chr19	3.73E-01	1.51E+00	0	0	0									
SUGT1	ENSG00000165416	chr13	4.12E-01	7.68E-01	0	0	0									
SULF1	ENSG00000137573	chr8	5.32E-01	1.98E+00	0	0	0									
SULF2	ENSG00000196562	chr20	6.08E-01	2.29E+00	0	0.499323	0									
SULT1A1	ENSG00000196502	chr16	1.26E+00	1.61E+00	0	0.588364	0									
SULT1A2	ENSG00000197165	chr16	1.22E+00	3.53E-01	0	0.324678	0									
SULT1A3	ENSG00000261052	chr16	NA	2.78E+00	0	0	0									
SULT1A4	ENSG00000213648	chr16	NA	2.45E+00	0	0	0									
SULT1B1	ENSG00000173597	chr4	1.11E+00	-4.96E-01	0	0	0									
SULT1C2	ENSG00000198203	chr2	1.03E+00	-8.04E-01	0	0	0									
SULT1C3	ENSG00000196228	chr2	1.47E+00	-8.92E-01	0	0	0									
SULT1C4	ENSG00000198075	chr2	1.23E+00	-2.03E-01	0	0	0									
SULT1E1	ENSG00000109193	chr4	1.41E+00	-5.80E-01	0	0	0									
SULT2A1	ENSG00000105398	chr19	1.64E+00	8.17E-01	0	0	0									
SULT2B1	ENSG00000088002	chr19	7.32E-01	1.14E-01	0	0	0									
SULT4A1	ENSG00000130540	chr22	5.18E-01	2.45E+00	0	0	0									
SULT6B1	ENSG00000138068	chr2	1.52E+00	-2.00E+00	0	0	0									
SUMF1	ENSG00000144455	chr3	1.28E+00	-1.66E+00	0	0.136557	0									
SUMF2	ENSG00000129103	chr7	1.29E+00	-6.07E-01	0	0	0									
SUMO1	ENSG00000116030	chr2	3.69E-01	2.74E+00	0	0	0									
SUMO2	ENSG00000188612	chr17	2.96E-01	3.99E+00	0	0	0									
SUMO3	ENSG00000184900	chr21	5.66E-01	2.32E+00	0	0	0									
SUMO4	ENSG00000177688	chr6	1.53E+00	2.51E-02	0	0.055644	0									
SUN1	ENSG00000164828	chr7	7.32E-01	-2.30E-01	0	0	0									
SUN2	ENSG00000100242	chr22	7.44E-01	1.66E+00	0	0.030756	0									
SUN3	ENSG00000164744	chr7	9.86E-01	2.89E-01	0	0	0									
SUN5	ENSG00000167098	chr20	1.05E+00	9.85E-01	0	0	0									
SUOX	ENSG00000139531	chr12	1.21E+00	9.18E-01	0	0.926317	0									
SUPT16H	ENSG00000092201	chr14	2.48E-01	7.74E+00	0	0	0									
SUPT20H	ENSG00000102710	chr13	8.02E-01	1.27E+00	0	0.070351	0									
SUPT20HL1	ENSG00000223731	chrX	NA	-2.31E+00	0	0	0									
SUPT20HL2	ENSG00000223611	chrX	NA	-6.07E+00	0	0	0									
SUPT3H	ENSG00000196284	chr6	1.28E+00	1.55E-01	0	0	0									
SUPT4H1	ENSG00000213246	chr17	1.00E+00	1.19E+00	0	0	0									
SUPT5H	ENSG00000196235	chr19	2.37E-01	6.43E+00	0	0	0									
SUPT6H	ENSG00000109111	chr17	8.19E-02	7.19E+00	0	0	0									
SUPT7L	ENSG00000119760	chr2	6.46E-01	1.65E+00	0	0	0									
SUPV3L1	ENSG00000156502	chr10	6.63E-01	2.54E+00	0	0	0									
SURF1	ENSG00000148290	chr9	1.69E+00	-1.55E+00	0	0	0									
SURF2	ENSG00000148291	chr9	1.64E+00	-1.69E+00	0	0	0									
SURF4	ENSG00000148248	chr9	2.58E-01	3.05E+00	0	0	0									
SURF6	ENSG00000148296	chr9	1.02E+00	-1.34E+00	0	0	0									
SUSD1	ENSG00000106868	chr9	9.20E-01	1.11E+00	0	0	0									
SUSD2	ENSG00000099994	chr22	1.10E+00	9.74E-01	0	0	0									
SUSD3	ENSG00000157303	chr9	1.30E+00	9.37E-01	0	0	0									
SUSD4	ENSG00000143502	chr1	1.05E+00	9.26E-01	0	0	0									
SUSD5	ENSG00000173705	chr3	1.49E+00	3.72E-01	0	0	0									
SUSD6	ENSG00000100647	chr14	8.57E-01	9.41E-01	0	0	0									
SUV39H1	ENSG00000101945	chrX	NA	4.48E+00	0	0	0									
SUV39H2	ENSG00000152455	chr10	3.57E-01	4.28E+00	0	0	0									
SUZ12	ENSG00000178691	chr17	2.92E-01	5.45E+00	0	0.034363	0									
SV2A	ENSG00000159164	chr1	4.47E-01	3.00E+00	0	0	0									
SV2B	ENSG00000185518	chr15	7.20E-01	1.37E+00	0	0	0									
SV2C	ENSG00000122012	chr5	7.80E-01	1.13E+00	0	0.345918	0									
SVBP	ENSG00000177868	chr1	1.71E+00	5.10E-01	0	0	0									
SVEP1	ENSG00000165124	chr9	5.08E-01	1.98E+00	0	0	0									
SVIL	ENSG00000197321	chr10	4.96E-01	2.46E+00	0	0	0									
SVIP	ENSG00000198168	chr11	1.70E+00	-9.71E-02	0	0.196726	0									
SVOP	ENSG00000166111	chr12	3.69E-01	2.84E+00	0	0	0									
SVOPL	ENSG00000157703	chr7	1.22E+00	-3.04E-01	0	0.034258	0									
SWAP70	ENSG00000133789	chr11	5.64E-01	1.83E+00	0	0.696662	0									
SWI5	ENSG00000175854	chr9	1.14E+00	1.39E-01	0	0	0									
SWSAP1	ENSG00000173928	chr19	1.64E+00	-8.17E-01	0	0	0									
SWT1	ENSG00000116668	chr1	4.11E-01	1.74E+00	0	0.108758	0									
SYAP1	ENSG00000169895	chrX	2.62E-01	1.24E+00	0	0.034137	0									
SYBU	ENSG00000147642	chr8	8.41E-01	1.17E+00	0	0	0									
SYCE1	ENSG00000171772	chr10	8.83E-01	3.64E-01	0	0	0									
SYCE1L	ENSG00000205078	chr16	1.63E+00	-2.96E+00	0	0	0									
SYCE2	ENSG00000161860	chr19	2.78E-01	1.48E+00	0	0	0									
SYCE3	ENSG00000217442	chr22	9.57E-01	1.10E+00	0	0	0									
SYCN	ENSG00000179751	chr19	1.92E+00	-1.40E+00	0	0	0									
SYCP1	ENSG00000198765	chr1	5.15E-01	6.84E-01	0	0	0									
SYCP2	ENSG00000196074	chr20	3.26E-01	2.14E-01	0	0.192175	0									
SYCP2L	ENSG00000153157	chr6	9.21E-01	1.32E+00	0	0	0									
SYCP3	ENSG00000139351	chr12	1.03E+00	7.44E-01	0	0	0									
SYDE1	ENSG00000105137	chr19	7.15E-01	1.55E+00	0	0	0									
SYDE2	ENSG00000097096	chr1	1.01E+00	4.23E-02	0	0.076641	0									
SYF2	ENSG00000117614	chr1	9.23E-01	4.58E-01	0	0.091362	0									
SYK	ENSG00000165025	chr9	3.13E-01	4.27E+00	1	0.032162	0									
SYMPK	ENSG00000125755	chr19	4.56E-01	3.37E+00	0	0.251027	0									
SYN1	ENSG00000008056	chrX	3.24E-01	3.18E+00	0	0	0									
SYN2	ENSG00000157152	chr3	5.47E-01	-1.88E-01	0	0.379	0									
SYN3	ENSG00000185666	chr22	7.05E-01	1.08E+00	0	0.448361	0									
SYNC	ENSG00000162520	chr1	1.01E+00	2.90E-02	0	0	0									
SYNCRIP	ENSG00000135316	chr6	2.28E-01	5.48E+00	0	0	0									
SYNDIG1	ENSG00000101463	chr20	8.10E-01	7.44E-01	0	0	0									
SYNDIG1L	ENSG00000183379	chr14	1.03E+00	2.72E-01	0	0	0									
SYNE1	ENSG00000131018	chr6	5.93E-01	1.72E+00	0	0.620354	0									
SYNE2	ENSG00000054654	chr14	5.45E-01	-5.04E-01	0	0.585726	0									
SYNE3	ENSG00000176438	chr14	1.06E+00	9.72E-01	0	0.47727	0									
SYNE4	ENSG00000181392	chr19	1.13E+00	4.28E-01	0	0	0									
SYNGAP1	ENSG00000197283	chr6	1.24E-01	8.76E+00	0	0.233348	0									
SYNGR1	ENSG00000100321	chr22	8.40E-01	3.25E-01	0	0.782319	0									
SYNGR2	ENSG00000108639	chr17	9.73E-01	1.17E+00	0	0	0									
SYNGR3	ENSG00000127561	chr16	9.17E-01	-5.16E-02	0	0	0									
SYNGR4	ENSG00000105467	chr19	1.49E+00	1.79E-01	0	0.03895	0									
SYNJ1	ENSG00000159082	chr21	5.60E-01	3.14E+00	0	0	0									
SYNJ2	ENSG00000078269	chr6	9.58E-01	5.99E-01	0	0	0									
SYNJ2BP	ENSG00000213463	chr14	1.00E+00	7.70E-01	0	0	0									
SYNJ2BP-COX16	ENSG00000258644	chr14	1.07E+00	4.60E-01	0	0	0									
SYNM	ENSG00000182253	chr15	1.08E+00	-9.21E-01	0	0.031394	0									
SYNPO	ENSG00000171992	chr5	5.63E-01	1.42E+00	0	0	0									
SYNPO2	ENSG00000172403	chr4	8.23E-01	-4.44E-01	0	0	0									
SYNPO2L	ENSG00000166317	chr10	9.53E-01	4.28E-01	0	0	0									
SYNPR	ENSG00000163630	chr3	9.90E-01	7.14E-01	0	0.626987	0									
SYNRG	ENSG00000275066	chr17	3.72E-01	2.68E+00	0	0	0									
SYP	ENSG00000102003	chrX	2.59E-01	1.32E+00	0	0	0									
SYPL1	ENSG00000008282	chr7	5.00E-01	9.01E-01	0	0.469833	0									
SYPL2	ENSG00000143028	chr1	1.08E+00	4.07E-01	0	0	0									
SYS1	ENSG00000204070	chr20	8.13E-01	1.28E+00	0	0	0									
SYS1-DBNDD2	ENSG00000254806	chr20	NA	2.44E-01	0	0	0									
SYT1	ENSG00000067715	chr12	3.22E-01	4.22E+00	0	0.632312	0									
SYT10	ENSG00000110975	chr12	8.18E-01	5.25E-01	0	0.206766	0									
SYT11	ENSG00000132718	chr1	6.39E-01	2.54E+00	0	0	0									
SYT12	ENSG00000173227	chr11	9.43E-01	6.52E-01	0	0	0									
SYT13	ENSG00000019505	chr11	7.83E-01	9.77E-01	0	0.407422	0									
SYT14	ENSG00000143469	chr1	5.79E-01	2.60E+00	0	0	0									
SYT15	ENSG00000204176	chr10	3.04E-01	7.14E+00	0	0	0									
SYT16	ENSG00000139973	chr14	8.85E-01	4.98E-02	0	0	0									
SYT17	ENSG00000103528	chr16	6.73E-01	1.62E+00	0	0	0									
SYT2	ENSG00000143858	chr1	5.79E-01	2.62E+00	0	0	0									
SYT3	ENSG00000213023	chr19	6.90E-01	3.10E+00	0	0	0									
SYT4	ENSG00000132872	chr18	4.00E-01	1.55E-01	0	0.345673	0									
SYT5	ENSG00000129990	chr19	1.10E+00	7.57E-02	0	0	0									
SYT6	ENSG00000134207	chr1	8.78E-01	1.71E-01	0	0	0									
SYT7	ENSG00000011347	chr11	5.27E-01	3.59E+00	0	0	0									
SYT8	ENSG00000149043	chr11	1.81E+00	-1.22E+00	0	0	0									
SYT9	ENSG00000170743	chr11	6.49E-01	7.70E-01	0	0.513986	0									
SYTL1	ENSG00000142765	chr1	8.94E-01	6.26E-01	0	0	0									
SYTL2	ENSG00000137501	chr11	9.45E-01	-2.12E+00	0	0.619145	0									
SYTL3	ENSG00000164674	chr6	1.28E+00	-1.14E+00	0	0	0									
SYTL4	ENSG00000102362	chrX	4.61E-01	1.81E+00	0	0	0									
SYTL5	ENSG00000147041	chrX	8.10E-01	-1.65E+00	0	0.032451	0									
SYVN1	ENSG00000162298	chr11	4.07E-01	2.74E+00	0	0	0									
SZRD1	ENSG00000055070	chr1	7.47E-01	7.14E-01	0	0	0									
SZT2	ENSG00000198198	chr1	5.98E-01	3.85E+00	0	0.133635	0									
TAAR1	ENSG00000146399	chr6	3.86E+00	-8.33E-01	0	0	0									
TAAR2	ENSG00000146378	chr6	1.60E+00	-1.35E+00	0	0	0									
TAAR5	ENSG00000135569	chr6	1.76E+00	-1.89E+00	0	0	0									
TAAR6	ENSG00000146383	chr6	1.26E+00	-1.78E+00	0	0	0									
TAAR8	ENSG00000146385	chr6	NA	-1.13E+00	0	0	0									
TAAR9	ENSG00000237110	chr6	NA	-9.18E-01	0	0	0									
TAB1	ENSG00000100324	chr22	7.47E-01	1.21E+00	0	0.032194	0									
TAB2	ENSG00000055208	chr6	1.19E-01	3.20E+00	0	0.52347	0									
TAB3	ENSG00000157625	chrX	5.54E-01	2.47E+00	0	0	0									
TAC1	ENSG00000006128	chr7	8.94E-01	8.10E-01	0	0	0									
TAC3	ENSG00000166863	chr12	9.53E-01	7.01E-01	0	0	0									
TAC4	ENSG00000176358	chr17	1.44E+00	2.90E-01	0	0	0									
TACC1	ENSG00000147526	chr8	7.23E-01	7.24E-01	0	0	0									
TACC2	ENSG00000138162	chr10	6.94E-01	1.57E+00	0	0.442506	0									
TACC3	ENSG00000013810	chr4	7.62E-01	-6.46E-01	0	0.347826	0									
TACO1	ENSG00000136463	chr17	8.61E-01	6.14E-01	0	0	0									
TACR1	ENSG00000115353	chr2	9.75E-01	8.37E-01	0	0.309321	0									
TACR2	ENSG00000075073	chr10	1.17E+00	6.96E-01	0	0.03626	0									
TACR3	ENSG00000169836	chr4	1.30E+00	5.91E-01	0	0.481771	0									
TACSTD2	ENSG00000184292	chr1	1.50E+00	-7.83E-01	0	0	0									
TADA1	ENSG00000152382	chr1	8.29E-01	1.18E+00	0	0.033398	0									
TADA2A	ENSG00000276234	chr17	7.39E-01	1.70E+00	0	0	0									
TADA2B	ENSG00000173011	chr4	5.99E-01	2.37E+00	0	0.42102	0									
TADA3	ENSG00000171148	chr3	8.08E-01	2.27E+00	0	0	0									
TAF1	ENSG00000147133	chrX	4.55E-02	8.53E+00	0	0	0									
TAF10	ENSG00000166337	chr11	3.47E-01	3.39E-01	0	0	0									
TAF11	ENSG00000064995	chr6	7.36E-01	1.73E+00	0	0.291182	0									
TAF12	ENSG00000120656	chr1	3.73E-01	2.03E+00	0	0	0									
TAF13	ENSG00000197780	chr1	8.40E-01	1.46E+00	0	0	0									
TAF15	ENSG00000270647	chr17	4.75E-01	1.68E+00	0	0.130742	0									
TAF1A	ENSG00000143498	chr1	8.82E-01	1.77E+00	0	0	0									
TAF1B	ENSG00000115750	chr2	9.00E-01	8.52E-01	0	0	0									
TAF1C	ENSG00000103168	chr16	1.35E+00	-3.61E+00	0	0	0									
TAF1D	ENSG00000166012	chr11	1.25E+00	5.47E-01	0	0	0									
TAF1L	ENSG00000122728	chr9	3.16E-01	1.39E+00	0	0	0									
TAF2	ENSG00000064313	chr8	5.45E-01	3.81E+00	0	0	0									
TAF3	ENSG00000165632	chr10	1.63E-01	2.77E+00	0	0.034615	0									
TAF4	ENSG00000130699	chr20	1.74E-01	2.27E-01	0	0.394055	0									
TAF4B	ENSG00000141384	chr18	5.76E-01	5.27E-01	0	0	0									
TAF5	ENSG00000148835	chr10	3.59E-01	2.21E+00	0	0	0									
TAF5L	ENSG00000135801	chr1	2.56E-01	2.85E+00	0	0.062161	0									
TAF6	ENSG00000106290	chr7	8.61E-01	1.87E+00	0	0	0									
TAF6L	ENSG00000162227	chr11	7.91E-01	1.04E+00	0	0	0									
TAF7	ENSG00000178913	chr5	6.20E-01	2.10E+00	0	0	0									
TAF7L	ENSG00000102387	chrX	3.92E-01	-1.78E-01	0	0	0									
TAF8	ENSG00000137413	chr6	1.64E+00	-2.62E-01	0	0	0									
TAF9	ENSG00000273841	chr5	1.03E+00	7.43E-01	0	0	0									
TAF9B	ENSG00000187325	chrX	3.41E+00	-8.91E-01	0	0	0									
TAFA1	ENSG00000183662	chr3	4.94E-01	7.22E-01	0	0.039779	0									
TAFA2	ENSG00000198673	chr12	7.00E-01	1.23E+00	0	0.594525	0									
TAFA3	ENSG00000184599	chr1	1.23E+00	-3.85E-02	0	0	0									
TAFA4	ENSG00000163377	chr3	1.38E+00	-9.53E-01	0	0.47897	0									
TAFA5	ENSG00000219438	chr22	7.72E-01	9.85E-01	0	0.364404	0									
TAFAZZIN	ENSG00000102125	chrX	4.33E-01	3.21E+00	1	0	0									
TAGAP	ENSG00000164691	chr6	6.75E-01	1.79E+00	0	0.846706	0									
TAGLN	ENSG00000149591	chr11	1.11E+00	4.00E-01	0	0.070138	0									
TAGLN2	ENSG00000158710	chr1	8.78E-01	1.35E+00	0	0	0									
TAGLN3	ENSG00000144834	chr3	7.67E-01	1.01E+00	0	0	0									
TAL1	ENSG00000162367	chr1	8.06E-01	4.05E-01	0	0	0									
TAL2	ENSG00000186051	chr9	NA	5.83E-01	0	0.154188	0									
TALDO1	ENSG00000177156	chr11	1.04E+00	-1.24E+00	0	0	0									
TAMALIN	ENSG00000161835	chr12	4.08E-01	1.10E-01	0	0	0									
TAMM41	ENSG00000144559	chr3	1.08E+00	-2.69E-01	0	0	0									
TANC1	ENSG00000115183	chr2	6.22E-01	2.98E+00	0	0	0									
TANC2	ENSG00000170921	chr17	1.71E-01	4.01E+00	0	0	0									
TANGO2	ENSG00000183597	chr22	9.23E-01	7.66E-01	0	0	0									
TANGO6	ENSG00000103047	chr16	9.39E-01	4.85E-01	0	0	0									
TANK	ENSG00000136560	chr2	5.29E-01	1.56E+00	0	0.382318	0									
TAOK1	ENSG00000160551	chr17	2.19E-01	7.02E+00	0	0	0									
TAOK2	ENSG00000149930	chr16	4.44E-01	4.01E+00	0	0	0									
TAOK3	ENSG00000135090	chr12	4.32E-01	3.72E+00	0	0.175457	0									
TAP1	ENSG00000168394	chr6	8.82E-01	2.78E+00	1	0	0									
TAP2	ENSG00000204267	chr6	8.32E-01	1.75E+00	1	0	0									
TAPBP	ENSG00000231925	chr6	1.09E+00	1.31E+00	1	0	0									
TAPBPL	ENSG00000139192	chr12	9.59E-01	1.17E+00	0	0	0									
TAPT1	ENSG00000169762	chr4	5.86E-01	1.91E+00	0	0	0									
TARBP1	ENSG00000059588	chr1	9.26E-01	-5.26E-01	0	0	0									
TARBP2	ENSG00000139546	chr12	8.07E-01	2.27E+00	0	0	0									
TARDBP	ENSG00000120948	chr1	2.39E-01	5.97E+00	0	0	0									
TARM1	ENSG00000248385	chr19	1.11E+00	2.29E-01	0	0.072561	0									
TARS1	ENSG00000113407	chr5	7.27E-01	1.18E+00	0	0	0									
TARS2	ENSG00000143374	chr1	8.00E-01	2.82E+00	0	0.231574	0									
TARS3	ENSG00000185418	chr15	1.08E+00	5.84E-01	0	0	0									
TAS1R1	ENSG00000173662	chr1	9.14E-01	1.68E-01	0	0	0									
TAS1R2	ENSG00000179002	chr1	1.22E+00	-4.19E-01	0	0	0									
TAS1R3	ENSG00000169962	chr1	1.57E+00	-2.93E+00	0	0	0									
TAS2R1	ENSG00000169777	chr5	NA	-3.76E-01	0	0.047819	0									
TAS2R10	ENSG00000121318	chr12	NA	-5.15E-01	0	0	0									
TAS2R13	ENSG00000212128	chr12	NA	-8.36E-01	0	0	0									
TAS2R14	ENSG00000212127	chr12	NA	-2.43E-01	0	0	0									
TAS2R16	ENSG00000128519	chr7	2.11E+00	-5.00E-01	0	0	0									
TAS2R19	ENSG00000212124	chr12	NA	1.47E-01	0	0	0									
TAS2R20	ENSG00000255837	chr12	NA	-2.69E-01	0	0	0									
TAS2R3	ENSG00000127362	chr7	1.11E+00	-2.82E-01	0	0	0									
TAS2R30	ENSG00000256188	chr12	NA	-5.18E-01	0	0	0									
TAS2R31	ENSG00000256436	chr12	NA	-1.04E-01	0	0	0									
TAS2R38	ENSG00000257138	chr7	1.11E+00	6.81E-01	0	0	0									
TAS2R39	ENSG00000236398	chr7	1.54E+00	7.81E-01	0	0	0									
TAS2R4	ENSG00000127364	chr7	1.86E+00	8.45E-01	0	0	0									
TAS2R40	ENSG00000221937	chr7	1.32E+00	7.79E-01	0	0	0									
TAS2R41	ENSG00000221855	chr7	1.76E+00	9.09E-01	0	0	0									
TAS2R42	ENSG00000186136	chr12	NA	2.15E-02	0	0	0									
TAS2R43	ENSG00000255374	chr12	NA	2.34E+00	0	0	0									
TAS2R46	ENSG00000226761	chr12	NA	-3.12E-01	0	0	0									
TAS2R5	ENSG00000127366	chr7	1.27E+00	3.38E-01	0	0	0									
TAS2R50	ENSG00000212126	chr12	NA	-5.73E-01	0	0	0									
TAS2R60	ENSG00000185899	chr7	1.24E+00	4.52E-01	0	0	0									
TAS2R7	ENSG00000121377	chr12	NA	-8.25E-01	0	0	0									
TAS2R8	ENSG00000121314	chr12	NA	-8.53E-01	0	0	0									
TAS2R9	ENSG00000121381	chr12	NA	-9.49E-01	0	0	0									
TASL	ENSG00000120280	chrX	9.15E-01	1.40E+00	0	0.639243	0									
TASOR	ENSG00000163946	chr3	3.73E-01	1.50E+00	0	0.395245	0									
TASOR2	ENSG00000108021	chr10	5.05E-01	3.19E-01	0	0.122516	0									
TASP1	ENSG00000089123	chr20	4.29E-01	2.24E+00	0	0	0									
TAT	ENSG00000198650	chr16	8.67E-01	8.34E-01	0	0	0									
TATDN1	ENSG00000147687	chr8	1.12E+00	5.11E-01	0	0	0									
TATDN2	ENSG00000157014	chr3	9.39E-01	-6.78E-01	0	0	0									
TATDN3	ENSG00000203705	chr1	9.85E-01	3.07E-01	0	0	0									
TAX1BP1	ENSG00000106052	chr7	7.84E-01	6.92E-01	0	0.071247	0									
TAX1BP3	ENSG00000213977	chr17	1.35E+00	7.39E-01	0	0	0									
TBATA	ENSG00000166220	chr10	1.55E+00	-7.68E-03	0	0	0									
TBC1D1	ENSG00000065882	chr4	8.45E-01	1.03E+00	0	0.189652	0									
TBC1D10A	ENSG00000099992	chr22	6.38E-01	1.40E+00	0	0.079908	0									
TBC1D10B	ENSG00000169221	chr16	4.46E-01	1.40E+00	0	0	0									
TBC1D10C	ENSG00000175463	chr11	1.22E+00	1.31E+00	0	0	0.161249									
TBC1D12	ENSG00000108239	chr10	8.07E-01	2.09E-01	0	0	0									
TBC1D13	ENSG00000107021	chr9	9.71E-01	2.34E+00	0	0	0									
TBC1D14	ENSG00000132405	chr4	4.56E-01	1.70E+00	0	0.494293	0									
TBC1D15	ENSG00000121749	chr12	5.34E-01	9.28E-01	0	0	0									
TBC1D16	ENSG00000167291	chr17	9.66E-01	8.51E-01	0	0	0									
TBC1D17	ENSG00000104946	chr19	1.07E+00	-1.39E+00	0	0	0									
TBC1D19	ENSG00000109680	chr4	8.36E-01	1.91E+00	0	0.090652	0									
TBC1D2	ENSG00000095383	chr9	7.92E-01	1.57E+00	0	0.545808	0									
TBC1D20	ENSG00000125875	chr20	4.67E-01	1.81E+00	0	0	0									
TBC1D21	ENSG00000167139	chr15	1.08E+00	6.15E-02	0	0	0									
TBC1D22A	ENSG00000054611	chr22	8.27E-01	1.18E+00	0	0.52997	0									
TBC1D22B	ENSG00000065491	chr6	6.22E-01	2.87E+00	0	0.078529	0									
TBC1D23	ENSG00000036054	chr3	7.53E-01	1.64E+00	0	0	0									
TBC1D24	ENSG00000162065	chr16	1.18E+00	1.21E+00	0	0	0									
TBC1D25	ENSG00000068354	chrX	5.33E-01	3.97E+00	0	0	0									
TBC1D26	ENSG00000214946	chr17	6.56E-01	2.45E+00	0	0	0									
TBC1D28	ENSG00000189375	chr17	9.95E-01	1.06E+00	0	0	0									
TBC1D2B	ENSG00000167202	chr15	7.82E-01	2.03E+00	0	0.062755	0									
TBC1D3	ENSG00000274611	chr17	NA	NA	0	0	0									
TBC1D30	ENSG00000111490	chr12	6.62E-01	1.98E+00	0	0	0									
TBC1D31	ENSG00000156787	chr8	8.80E-01	1.48E+00	0	0.038711	0									
TBC1D32	ENSG00000146350	chr6	1.02E+00	-7.69E-02	0	0.440938	0									
TBC1D3B	ENSG00000274808	chr17	2.32E-01	8.18E+00	0	0	0									
TBC1D3D	ENSG00000274419	chr17	NA	NA	0	0	0									
TBC1D3E	ENSG00000278599	chr17	NA	2.24E+00	0	0	0									
TBC1D3F	ENSG00000275954	chr17	2.64E-01	6.96E+00	0	0	0									
TBC1D3G	ENSG00000260287	chr17	NA	4.17E+00	0	0	0									
TBC1D3H	ENSG00000274226	chr17	NA	NA	0	0	0									
TBC1D3I	ENSG00000274933	chr17	NA	4.47E+00	0	0	0									
TBC1D3K	ENSG00000273513	chr17	NA	2.28E+00	0	0	0									
TBC1D3L	ENSG00000274512	chr17	NA	5.89E+00	0	0	0									
TBC1D4	ENSG00000136111	chr13	9.87E-01	1.40E+00	0	0.481648	0									
TBC1D5	ENSG00000131374	chr3	9.06E-01	4.50E-01	0	0.406119	0									
TBC1D7	ENSG00000145979	chr6	1.25E+00	7.38E-02	0	0.086537	0									
TBC1D8	ENSG00000204634	chr2	6.72E-01	1.06E+00	0	0.255455	0									
TBC1D8B	ENSG00000133138	chrX	1.10E+00	4.31E-02	0	0	0									
TBC1D9	ENSG00000109436	chr4	5.89E-01	3.54E+00	0	0	0									
TBC1D9B	ENSG00000197226	chr5	8.58E-01	9.37E-01	0	0	0									
TBCA	ENSG00000171530	chr5	7.50E-01	1.53E+00	0	0.057883	0									
TBCB	ENSG00000105254	chr19	9.15E-01	3.59E-02	0	0	0									
TBCC	ENSG00000124659	chr6	1.38E+00	-1.21E+00	0	0	0									
TBCCD1	ENSG00000113838	chr3	6.76E-01	1.84E+00	0	0	0									
TBCD	ENSG00000141556	chr17	7.29E-01	1.66E+00	0	0.535995	0									
TBCEL	ENSG00000154114	chr11	5.22E-01	3.55E+00	0	0.194211	0									
TBCEL-TECTA	ENSG00000285509	chr11	5.87E-01	3.26E+00	0	0	0									
TBCK	ENSG00000145348	chr4	1.03E+00	2.13E-01	0	0.428396	0									
TBK1	ENSG00000183735	chr12	4.87E-01	3.30E+00	1	0.395238	0									
TBKBP1	ENSG00000198933	chr17	8.58E-01	4.02E-01	0	0.222719	0									
TBL1X	ENSG00000101849	chrX	3.35E-01	3.12E+00	0	0	0									
TBL1XR1	ENSG00000177565	chr3	1.57E-01	6.58E+00	0	0.696132	0									
